antecedent,consequent,confidence,lift,support
"[""Non Fat Raspberry Yogurt""]","[""Vanilla Skyr Nonfat Yogurt""]",0.241319444,41.82732231,0.001059379
"[""Vanilla Skyr Nonfat Yogurt""]","[""Non Fat Raspberry Yogurt""]",0.183619551,41.82732231,0.001059379
"[""Total 2% Greek Strained Yogurt with Cherry 5.3 oz""]","[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]",0.25617284,34.54489424,0.001265157
"[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]","[""Total 2% Greek Strained Yogurt with Cherry 5.3 oz""]",0.170606372,34.54489424,0.001265157
"[""Zero Calorie Cola""]","[""Soda""]",0.391930836,34.12399006,0.001036514
"[""Soda""]","[""Zero Calorie Cola""]",0.090245521,34.12399006,0.001036514
"[""Sparkling Lemon Water"",""Sparkling Water Grapefruit""]","[""Lime Sparkling Water""]",0.449848024,30.02243613,0.001127971
"[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]","[""Total 2% All Natural Greek Strained Yogurt with Honey""]",0.179856115,29.13424816,0.00133375
"[""Total 2% All Natural Greek Strained Yogurt with Honey""]","[""Total 2% with Strawberry Lowfat Greek Strained Yogurt""]",0.216049383,29.13424816,0.00133375
"[""Lime Sparkling Water"",""Sparkling Water Grapefruit""]","[""Sparkling Lemon Water""]",0.293069307,27.02272009,0.001127971
"[""Sparkling Water Berry""]","[""Peach Pear Flavored Sparkling Water""]",0.18487395,26.98234266,0.001006029
"[""Peach Pear Flavored Sparkling Water""]","[""Sparkling Water Berry""]",0.146829811,26.98234266,0.001006029
"[""Mango Chunks""]","[""Pineapple Chunks""]",0.213136729,25.96606973,0.001211807
"[""Pineapple Chunks""]","[""Mango Chunks""]",0.147632312,25.96606973,0.001211807
"[""Organic Whole Strawberries""]","[""Frozen Organic Wild Blueberries""]",0.207749382,25.5949189,0.0019206
"[""Frozen Organic Wild Blueberries""]","[""Organic Whole Strawberries""]",0.236619718,25.5949189,0.0019206
"[""Yellow Bell Pepper""]","[""Orange Bell Pepper""]",0.339622642,23.90640943,0.003018086
"[""Orange Bell Pepper""]","[""Yellow Bell Pepper""]",0.212446352,23.90640943,0.003018086
"[""Sparkling Lemon Water"",""Lime Sparkling Water""]","[""Sparkling Water Grapefruit""]",0.451219512,17.62550193,0.001127971
"[""Organic Bell Pepper""]","[""Organic Red Bell Pepper""]",0.296924708,16.28048227,0.002134
"[""Organic Red Bell Pepper""]","[""Organic Bell Pepper""]",0.11700794,16.28048227,0.002134
"[""Lime Sparkling Water""]","[""Sparkling Lemon Water""]",0.166836216,15.38328392,0.002499829
"[""Sparkling Lemon Water""]","[""Lime Sparkling Water""]",0.230498946,15.38328392,0.002499829
"[""Hass Avocados""]","[""Packaged Grape Tomatoes""]",0.068541301,14.74300902,0.001188943
"[""Packaged Grape Tomatoes""]","[""Hass Avocados""]",0.255737705,14.74300902,0.001188943
"[""Organic Yellow Squash""]","[""Organic Zucchini""]",0.467700258,13.37251759,0.001379479
"[""Organic Zucchini""]","[""Organic Yellow Squash""]",0.039442144,13.37251759,0.001379479
"[""Hass Avocados""]","[""Baby Cucumbers""]",0.060193322,12.49668597,0.001044136
"[""Baby Cucumbers""]","[""Hass Avocados""]",0.216772152,12.49668597,0.001044136
"[""Sparkling Water Berry""]","[""Lime Sparkling Water""]",0.18627451,12.43178645,0.00101365
"[""Lime Sparkling Water""]","[""Sparkling Water Berry""]",0.067650051,12.43178645,0.00101365
"[""Organic Dill""]","[""Organic Italian Parsley Bunch""]",0.218700475,11.95644612,0.001051757
"[""Organic Italian Parsley Bunch""]","[""Organic Dill""]",0.0575,11.95644612,0.001051757
"[""Organic Red Onion"",""Limes""]","[""Organic Cilantro""]",0.316666667,11.78375402,0.001592879
"[""Green Bell Pepper"",""Banana""]","[""Red Peppers""]",0.248366013,11.21785067,0.001158457
"[""Organic Italian Parsley Bunch"",""Organic Yellow Onion""]","[""Organic Garlic""]",0.353887399,11.1671986,0.001006029
"[""Sparkling Water Grapefruit""]","[""Sparkling Water Berry""]",0.060434653,11.10584091,0.00154715
"[""Sparkling Water Berry""]","[""Sparkling Water Grapefruit""]",0.284313725,11.10584091,0.00154715
"[""Blackberries""]","[""Raspberries""]",0.273909006,10.96045344,0.002248321
"[""Raspberries""]","[""Blackberries""]",0.089966453,10.96045344,0.002248321
"[""Organic Garlic"",""Limes""]","[""Organic Cilantro""]",0.282874618,10.5262892,0.001409964
"[""Sparkling Water Grapefruit""]","[""Peach Pear Flavored Sparkling Water""]",0.071747544,10.47155004,0.001836764
"[""Peach Pear Flavored Sparkling Water""]","[""Sparkling Water Grapefruit""]",0.26807564,10.47155004,0.001836764
"[""Organic Yellow Onion"",""Limes""]","[""Organic Cilantro""]",0.280669145,10.44421947,0.001150836
"[""Organic Jalapeno Pepper""]","[""Organic Cilantro""]",0.270588235,10.06909012,0.001752929
"[""Organic Cilantro""]","[""Organic Jalapeno Pepper""]",0.065229722,10.06909012,0.001752929
"[""Bunched Cilantro"",""Large Lemon""]","[""Limes""]",0.462287105,10.05407404,0.001448071
"[""Lime Sparkling Water""]","[""Sparkling Water Grapefruit""]",0.256866734,10.03370865,0.003848821
"[""Sparkling Water Grapefruit""]","[""Lime Sparkling Water""]",0.150342364,10.03370865,0.003848821
"[""Bunched Cilantro"",""Organic Avocado""]","[""Limes""]",0.459016393,9.98294082,0.001067
"[""Jalapeno Peppers""]","[""Bunched Cilantro""]",0.145339652,9.932224197,0.002103514
"[""Bunched Cilantro""]","[""Jalapeno Peppers""]",0.14375,9.932224197,0.002103514
"[""Jalapeno Peppers"",""Large Lemon""]","[""Limes""]",0.455958549,9.916437143,0.001341371
"[""Yellow Bell Pepper""]","[""Red Peppers""]",0.216981132,9.800302017,0.001928221
"[""Red Peppers""]","[""Yellow Bell Pepper""]",0.087091222,9.800302017,0.001928221
"[""Organic Garbanzo Beans""]","[""Organic Black Beans""]",0.117440841,9.777471672,0.001021271
"[""Organic Black Beans""]","[""Organic Garbanzo Beans""]",0.085025381,9.777471672,0.001021271
"[""Organic Cilantro"",""Large Lemon""]","[""Limes""]",0.445759369,9.694619762,0.001722443
"[""Organic Cilantro"",""Organic Yellow Onion""]","[""Organic Garlic""]",0.305122494,9.628383206,0.001044136
"[""Organic Cilantro"",""Limes""]","[""Jalapeno Peppers""]",0.138033764,9.537268086,0.001059379
"[""Jalapeno Peppers"",""Organic Cilantro""]","[""Limes""]",0.437106918,9.506441511,0.001059379
"[""Jalapeno Peppers"",""Limes""]","[""Organic Cilantro""]",0.254113346,9.456028914,0.001059379
"[""Red Peppers"",""Banana""]","[""Green Bell Pepper""]",0.181384248,9.440398978,0.001158457
"[""Limes"",""Organic Avocado""]","[""Bunched Cilantro""]",0.135004822,9.225962311,0.001067
"[""Organic Cilantro"",""Organic Avocado""]","[""Limes""]",0.416666667,9.061895685,0.001676714
"[""Sparkling Lemon Water""]","[""Sparkling Water Grapefruit""]",0.231201687,9.031182523,0.00250745
"[""Sparkling Water Grapefruit""]","[""Sparkling Lemon Water""]",0.097945817,9.031182523,0.00250745
"[""Organic Garlic"",""Bag of Organic Bananas""]","[""Organic Yellow Onion""]",0.293859649,8.987652844,0.002042543
"[""Globe Eggplant""]","[""Organic Zucchini""]",0.312217195,8.926935254,0.001577636
"[""Organic Zucchini""]","[""Globe Eggplant""]",0.045107867,8.926935254,0.001577636
"[""Green Onions""]","[""Bunched Cilantro""]",0.129411765,8.843743873,0.001425207
"[""Bunched Cilantro""]","[""Green Onions""]",0.097395833,8.843743873,0.001425207
"[""Baby Cucumbers""]","[""Raspberries""]",0.21835443,8.737440212,0.001051757
"[""Raspberries""]","[""Baby Cucumbers""]",0.042086002,8.737440212,0.001051757
"[""Green Bell Pepper""]","[""Red Peppers""]",0.191590639,8.65349952,0.00368115
"[""Red Peppers""]","[""Green Bell Pepper""]",0.16626506,8.65349952,0.00368115
"[""Organic Garlic"",""Organic Hass Avocado""]","[""Organic Yellow Onion""]",0.280060883,8.565619667,0.001402343
"[""Organic Garlic"",""Organic Yellow Onion""]","[""Organic Italian Parsley Bunch""]",0.155294118,8.489994118,0.001006029
"[""Organic Yellow Onion"",""Large Lemon""]","[""Organic Garlic""]",0.269016698,8.489036045,0.001105107
"[""Limes"",""Organic Hass Avocado""]","[""Organic Cilantro""]",0.227735369,8.474455481,0.001364236
"[""Organic Yellow Onion"",""Bag of Organic Bananas""]","[""Organic Garlic""]",0.268,8.456953343,0.002042543
"[""Organic Yellow Onion"",""Organic Baby Spinach""]","[""Organic Garlic""]",0.266042781,8.395191731,0.001516664
"[""Limes"",""Organic Baby Spinach""]","[""Organic Cilantro""]",0.22257721,8.282510811,0.001592879
"[""Organic Yellow Onion"",""Limes""]","[""Organic Garlic""]",0.260223048,8.211545442,0.001067
"[""Organic Italian Parsley Bunch"",""Organic Garlic""]","[""Organic Yellow Onion""]",0.268292683,8.205691057,0.001006029
"[""Orange Bell Pepper""]","[""Red Peppers""]",0.180257511,8.141620559,0.0025608
"[""Red Peppers""]","[""Orange Bell Pepper""]",0.115662651,8.141620559,0.0025608
"[""Limes"",""Large Lemon""]","[""Bunched Cilantro""]",0.119122257,8.140579284,0.001448071
"[""Organic Cilantro"",""Organic Garlic""]","[""Organic Yellow Onion""]",0.264478764,8.089042939,0.001044136
"[""Fresh Ginger Root""]","[""Garlic""]",0.117601246,8.036636406,0.001150836
"[""Garlic""]","[""Fresh Ginger Root""]",0.078645833,8.036636406,0.001150836
"[""Organic Cilantro"",""Organic Red Onion""]","[""Limes""]",0.366024518,7.960502409,0.001592879
"[""Organic Yellow Onion"",""Organic Hass Avocado""]","[""Organic Garlic""]",0.251709986,7.942908994,0.001402343
"[""Limes"",""Organic Avocado""]","[""Organic Cilantro""]",0.212150434,7.894511142,0.001676714
"[""Pure Sparkling Water""]","[""Lime Sparkling Water""]",0.118222222,7.890040466,0.00101365
"[""Lime Sparkling Water""]","[""Pure Sparkling Water""]",0.067650051,7.890040466,0.00101365
"[""Whole Milk Plain Yogurt""]","[""Organic Whole Milk""]",0.294223827,7.86569154,0.001242293
"[""Organic Whole Milk""]","[""Whole Milk Plain Yogurt""]",0.033211084,7.86569154,0.001242293
"[""Organic Cilantro"",""Organic Garlic""]","[""Limes""]",0.357142857,7.767339158,0.001409964
"[""Limes"",""Banana""]","[""Bunched Cilantro""]",0.113448535,7.752848344,0.001150836
"[""Organic Garlic"",""Organic Hass Avocado""]","[""Organic Lemon""]",0.205479452,7.692083716,0.001028893
"[""Limes"",""Bag of Organic Bananas""]","[""Organic Cilantro""]",0.206008584,7.665961502,0.001463314
"[""Organic Cilantro"",""Organic Hass Avocado""]","[""Limes""]",0.351669941,7.648311171,0.001364236
"[""Organic Garlic"",""Organic Strawberries""]","[""Organic Yellow Onion""]",0.25,7.646212121,0.001219429
"[""Organic Cilantro"",""Banana""]","[""Limes""]",0.351351351,7.641382307,0.001585257
"[""Limes"",""Large Lemon""]","[""Jalapeno Peppers""]",0.110344828,7.624136115,0.001341371
"[""Organic Hass Avocado"",""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Raspberries""]",0.321126761,7.597317188,0.001737686
"[""Organic Yellow Onion"",""Organic Strawberries""]","[""Organic Garlic""]",0.238450075,7.524481921,0.001219429
"[""Organic Garlic"",""Organic Baby Spinach""]","[""Organic Yellow Onion""]",0.242092457,7.40436113,0.001516664
"[""Organic Cilantro"",""Organic Yellow Onion""]","[""Limes""]",0.336302895,7.314100214,0.001150836
"[""Green Bell Pepper""]","[""Yellow Bell Pepper""]",0.064656882,7.27578461,0.001242293
"[""Yellow Bell Pepper""]","[""Green Bell Pepper""]",0.139794168,7.27578461,0.001242293
"[""Red Raspberries""]","[""Organic Blackberries""]",0.156061621,7.202493569,0.001775793
"[""Organic Blackberries""]","[""Red Raspberries""]",0.081955681,7.202493569,0.001775793
"[""Organic Cilantro"",""Limes""]","[""Organic Red Onion""]",0.20754717,7.132544946,0.001592879
"[""Green Bell Pepper""]","[""Orange Bell Pepper""]",0.100357001,7.064239147,0.001928221
"[""Orange Bell Pepper""]","[""Green Bell Pepper""]",0.135729614,7.064239147,0.001928221
"[""Limes"",""Organic Strawberries""]","[""Organic Cilantro""]",0.188494492,7.014229667,0.0011737
"[""Organic Ginger Root""]","[""Organic Garlic""]",0.22122571,6.980953388,0.003383914
"[""Organic Garlic""]","[""Organic Ginger Root""]",0.106782107,6.980953388,0.003383914
"[""Bunched Cilantro"",""Banana""]","[""Limes""]",0.32059448,6.97246496,0.001150836
"[""Organic Cilantro"",""Organic Baby Spinach""]","[""Limes""]",0.320061256,6.96086811,0.001592879
"[""Limes"",""Organic Avocado"",""Banana""]","[""Large Lemon""]",0.414772727,6.689848159,0.001112729
"[""Organic Small Bunch Celery"",""Bag of Organic Bananas""]","[""Organic Cucumber""]",0.234177215,6.660775683,0.001127971
"[""Organic Avocado"",""Large Lemon"",""Banana""]","[""Limes""]",0.306079665,6.65678878,0.001112729
"[""Organic Cilantro"",""Bag of Organic Bananas""]","[""Organic Red Onion""]",0.193277311,6.642148426,0.001051757
"[""Organic Kiwi"",""Organic Strawberries""]","[""Organic Raspberries""]",0.280464217,6.635310025,0.001105107
"[""Organic Jalapeno Pepper""]","[""Organic Red Onion""]",0.191764706,6.590166394,0.001242293
"[""Organic Red Onion""]","[""Organic Jalapeno Pepper""]",0.042692509,6.590166394,0.001242293
"[""Asparagus"",""Limes""]","[""Large Lemon""]",0.407673861,6.575350906,0.001295643
"[""Organic Red Onion"",""Organic Avocado""]","[""Limes""]",0.301318267,6.553235298,0.001219429
"[""Organic Garlic"",""Limes""]","[""Organic Yellow Onion""]",0.214067278,6.547215272,0.001067
"[""Hass Avocados""]","[""Clementines""]",0.067223199,6.528711076,0.001166079
"[""Clementines""]","[""Hass Avocados""]",0.113249445,6.528711076,0.001166079
"[""Organic Italian Parsley Bunch""]","[""Organic Garlic""]",0.205,6.468938191,0.003749743
"[""Organic Garlic""]","[""Organic Italian Parsley Bunch""]",0.118326118,6.468938191,0.003749743
"[""Large Lemon"",""Organic Baby Spinach"",""Banana""]","[""Organic Avocado""]",0.361185984,6.396389763,0.001021271
"[""Pure Sparkling Water""]","[""Sparkling Water Grapefruit""]",0.163555556,6.388794549,0.001402343
"[""Sparkling Water Grapefruit""]","[""Pure Sparkling Water""]",0.054778208,6.388794549,0.001402343
"[""Organic Red Onion"",""Bag of Organic Bananas""]","[""Organic Cilantro""]",0.171428571,6.379175107,0.001051757
"[""Organic Lemon"",""Organic Raspberries""]","[""Organic Hass Avocado""]",0.352941176,6.349795533,0.001234671
"[""Organic Red Onion"",""Large Lemon""]","[""Limes""]",0.291729323,6.34468967,0.001478557
"[""Organic Large Extra Fancy Fuji Apple"",""Organic Strawberries""]","[""Organic Raspberries""]",0.267692308,6.333148215,0.001326129
"[""Organic Garlic"",""Bag of Organic Bananas""]","[""Organic Lemon""]",0.168859649,6.321228446,0.0011737
"[""Bunched Cilantro""]","[""Limes""]",0.290625,6.32067224,0.004252757
"[""Limes""]","[""Bunched Cilantro""]",0.092491298,6.32067224,0.004252757
"[""Organic Raspberries"",""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.351309707,6.320443628,0.001737686
"[""Organic Jalapeno Pepper""]","[""Organic Garlic""]",0.2,6.311159211,0.001295643
"[""Organic Garlic""]","[""Organic Jalapeno Pepper""]",0.040885041,6.311159211,0.001295643
"[""Organic Basil""]","[""Organic Italian Parsley Bunch""]",0.115384615,6.308125,0.001074621
"[""Organic Italian Parsley Bunch""]","[""Organic Basil""]",0.05875,6.308125,0.001074621
"[""Organic Small Bunch Celery""]","[""Organic Carrot Bunch""]",0.083492185,6.288706107,0.001669093
"[""Organic Carrot Bunch""]","[""Organic Small Bunch Celery""]",0.125717566,6.288706107,0.001669093
"[""Organic Italian Parsley Bunch""]","[""Organic Small Bunch Celery""]",0.125416667,6.273654372,0.00229405
"[""Organic Small Bunch Celery""]","[""Organic Italian Parsley Bunch""]",0.114754098,6.273654372,0.00229405
"[""Organic Avocado"",""Large Lemon""]","[""Limes""]",0.288361749,6.271449823,0.002964736
"[""Jalapeno Peppers""]","[""Limes""]",0.28804634,6.264590129,0.004168921
"[""Limes""]","[""Jalapeno Peppers""]",0.090667993,6.264590129,0.004168921
"[""Organic Yellow Onion""]","[""Organic Garlic""]",0.198135198,6.252313904,0.006478214
"[""Organic Garlic""]","[""Organic Yellow Onion""]",0.204425204,6.252313904,0.006478214
"[""Organic Garlic"",""Organic Avocado""]","[""Limes""]",0.286971831,6.241221113,0.001242293
"[""Organic Cilantro"",""Organic Strawberries""]","[""Limes""]",0.286778399,6.237014237,0.0011737
"[""Organic Cilantro""]","[""Jalapeno Peppers""]",0.090187181,6.231369049,0.002423614
"[""Jalapeno Peppers""]","[""Organic Cilantro""]",0.167456556,6.231369049,0.002423614
"[""Organic D'Anjou Pears""]","[""Organic Kiwi""]",0.089276281,6.230772106,0.001288021
"[""Organic Kiwi""]","[""Organic D'Anjou Pears""]",0.089893617,6.230772106,0.001288021
"[""Organic Cilantro""]","[""Limes""]",0.28559274,6.211227876,0.007674778
"[""Limes""]","[""Organic Cilantro""]",0.166915299,6.211227876,0.007674778
"[""Raspberries"",""Organic Strawberries""]","[""Organic Blueberries""]",0.234458259,6.19473092,0.001006029
"[""Organic Yellow Onion"",""Organic Raspberries""]","[""Organic Hass Avocado""]",0.342857143,6.168372804,0.001006029
"[""Organic Cilantro"",""Bag of Organic Bananas""]","[""Organic Garlic""]",0.194677871,6.143215199,0.001059379
"[""Organic Red Onion"",""Bag of Organic Bananas""]","[""Organic Lemon""]",0.163975155,6.138378359,0.001006029
"[""Roma Tomato""]","[""Red Onion""]",0.068612391,6.132536264,0.001021271
"[""Red Onion""]","[""Roma Tomato""]",0.091280654,6.132536264,0.001021271
"[""Organic Blackberries"",""Organic Strawberries""]","[""Organic Raspberries""]",0.259026688,6.128134268,0.001257536
"[""Roma Tomato""]","[""Bunched Cilantro""]",0.089605735,6.123478569,0.00133375
"[""Bunched Cilantro""]","[""Roma Tomato""]",0.091145833,6.123478569,0.00133375
"[""Organic Hass Avocado"",""Organic Strawberries""]","[""Organic Kiwi""]",0.087719298,6.12210713,0.001028893
"[""Organic Cucumber"",""Organic Hass Avocado""]","[""Organic Lemon""]",0.162454874,6.081466909,0.001028893
"[""Organic Tomato Cluster"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.337007874,6.063138097,0.001630986
"[""Organic Raspberries"",""Organic Strawberries""]","[""Organic Kiwi""]",0.086826347,6.059786279,0.001105107
"[""Limes"",""Organic Avocado""]","[""Large Lemon""]",0.37512054,6.050300054,0.002964736
"[""Organic Red Bell Pepper"",""Bag of Organic Bananas""]","[""Organic Cucumber""]",0.211446741,6.014245702,0.00101365
"[""Limes"",""Strawberries""]","[""Large Lemon""]",0.372839506,6.013509375,0.001150836
"[""Organic Lemon"",""Organic Strawberries""]","[""Organic Raspberries""]",0.254062038,6.010679047,0.001310886
"[""Organic Garlic"",""Organic Yellow Onion""]","[""Organic Cilantro""]",0.161176471,5.99767542,0.001044136
"[""Organic Cucumber"",""Bag of Organic Bananas""]","[""Organic Lemon""]",0.159305994,5.963589194,0.001539529
"[""Limes""]","[""Organic Jalapeno Pepper""]",0.038620918,5.961661255,0.001775793
"[""Organic Jalapeno Pepper""]","[""Limes""]",0.274117647,5.961661255,0.001775793
"[""Organic Cucumber"",""Organic Baby Spinach""]","[""Organic Grape Tomatoes""]",0.173633441,5.959265,0.001234671
"[""Organic Lemon"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.330834114,5.952065447,0.002690364
"[""Organic Raspberries"",""Organic Hass Avocado""]","[""Organic Lemon""]",0.158979392,5.951362906,0.001234671
"[""Organic Cucumber"",""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.330188679,5.940453368,0.001067
"[""Organic Ginger Root""]","[""Organic Lacinato (Dinosaur) Kale""]",0.079720977,5.939869175,0.001219429
"[""Organic Lacinato (Dinosaur) Kale""]","[""Organic Ginger Root""]",0.090857467,5.939869175,0.001219429
"[""Organic Red Onion""]","[""Feta Cheese Crumbles""]",0.064955474,5.881810074,0.001890114
"[""Feta Cheese Crumbles""]","[""Organic Red Onion""]",0.171152519,5.881810074,0.001890114
"[""Organic Raspberries"",""Bag of Organic Bananas""]","[""Organic Kiwi""]",0.084269663,5.881350108,0.001143214
"[""Organic Leek""]","[""Organic Zucchini""]",0.205497382,5.875595123,0.001196564
"[""Organic Zucchini""]","[""Organic Leek""]",0.034212247,5.875595123,0.001196564
"[""Organic Hass Avocado"",""Organic Strawberries""]","[""Organic Raspberries""]",0.247563353,5.856931114,0.002903764
"[""Limes"",""Organic Baby Spinach""]","[""Organic Red Onion""]",0.170394036,5.855744132,0.001219429
"[""Organic Cilantro"",""Bag of Organic Bananas""]","[""Limes""]",0.268907563,5.848349484,0.001463314
"[""Organic Cucumber"",""Bag of Organic Bananas""]","[""Organic Small Bunch Celery""]",0.116719243,5.838587549,0.001127971
"[""Organic Grape Tomatoes"",""Bag of Organic Bananas""]","[""Organic Cucumber""]",0.204878049,5.827410341,0.0012804
"[""Yellow Onions"",""Limes""]","[""Large Lemon""]",0.360887097,5.820729574,0.001364236
"[""Limes"",""Banana""]","[""Organic Cilantro""]",0.156273479,5.815225993,0.001585257
"[""Organic Yellow Onion"",""Bag of Organic Bananas""]","[""Organic Lemon""]",0.155,5.80239515,0.001181321
"[""Organic Cilantro"",""Limes""]","[""Organic Garlic""]",0.183714002,5.797241579,0.001409964
"[""Organic Hass Avocado"",""Large Lemon""]","[""Limes""]",0.266030014,5.785766958,0.001486179
"[""Organic Italian Parsley Bunch""]","[""Organic Cilantro""]",0.155416667,5.783342432,0.002842793
"[""Organic Cilantro""]","[""Organic Italian Parsley Bunch""]",0.105785593,5.783342432,0.002842793
"[""Organic Garlic"",""Large Lemon""]","[""Limes""]",0.265384615,5.771730482,0.001577636
"[""Organic Cucumber"",""Bag of Organic Bananas""]","[""Organic Red Bell Pepper""]",0.10488959,5.751131718,0.00101365
"[""Limes"",""Organic Hass Avocado""]","[""Organic Garlic""]",0.181933842,5.741067221,0.001089864
"[""Organic Red Onion"",""Bag of Organic Bananas""]","[""Organic Cucumber""]",0.201242236,5.723995783,0.001234671
"[""Limes"",""Large Lemon"",""Banana""]","[""Organic Avocado""]",0.32300885,5.720295336,0.001112729
"[""Organic Cilantro""]","[""Organic Ginger Root""]",0.087351106,5.710638404,0.0023474
"[""Organic Ginger Root""]","[""Organic Cilantro""]",0.15346288,5.710638404,0.0023474
"[""Organic Yellow Onion"",""Large Lemon""]","[""Limes""]",0.261595547,5.689323747,0.001074621
"[""Organic Garlic"",""Large Lemon""]","[""Organic Yellow Onion""]",0.185897436,5.685644911,0.001105107
"[""Organic Garlic""]","[""Organic White Onions""]",0.036796537,5.68004329,0.001166079
"[""Organic White Onions""]","[""Organic Garlic""]",0.18,5.68004329,0.001166079
"[""Organic Garlic"",""Bag of Organic Bananas""]","[""Organic Cilantro""]",0.152412281,5.671543658,0.001059379
"[""Organic Lemon"",""Organic Strawberries""]","[""Organic Hass Avocado""]",0.313146233,5.633841236,0.001615743
"[""Organic Small Bunch Celery""]","[""Organic Ginger Root""]",0.086160884,5.632826852,0.001722443
"[""Organic Ginger Root""]","[""Organic Small Bunch Celery""]",0.112605879,5.632826852,0.001722443
"[""Organic Raspberries"",""Bag of Organic Bananas""]","[""Organic Navel Orange""]",0.084831461,5.621540972,0.001150836
"[""Organic Red Bell Pepper""]","[""Green Bell Pepper""]",0.107814459,5.611355545,0.001966329
"[""Green Bell Pepper""]","[""Organic Red Bell Pepper""]",0.102340341,5.611355545,0.001966329
"[""Organic Hass Avocado"",""Organic Strawberries"",""Bag of Organic Bananas""]","[""Organic Cucumber""]",0.197183099,5.608540469,0.001067
"[""Organic Red Bell Pepper"",""Bag of Organic Bananas""]","[""Organic Hass Avocado""]",0.311605723,5.606125786,0.0014938
